Entrada,Limite de Horario,Limite de Dia,Tempo,Valor da Funcao
res_problema1_5-8,5,8,261.283489094,29.799999999999997
res_problema1_10-15,10,15,353.748063435,31.366666666666667
res_problema1_15-20,15,20,359.634344159,31.366666666666667
res_problema1_25-30,25,30,354.787302151,31.366666666666667
res_problema1_100-100,100,100,354.740406933,31.366666666666667
res_ultrapequenino_2-3,2,3,9.385465036,1.4666666666666668
res_ultrapequenino_3-4,3,4,9.403799866,2.6333333333333333
res_ultrapequenino_5-8,5,8,9.389542178,2.6333333333333333
res_ultrapequenino_100-100,100,100,9.404800275,2.6333333333333333
